site_name,city,site_id,list_date,site_score,indicator
Alabama Army Ammunition Plant,Childersburg,AL6210020008,07/22/1987,36.83,Yes
"Alabama Plating Company, Inc.",Vincent,ALD004022448,09/18/2012,30.20,No
American Brass,Headland,ALD981868466,05/10/1999,55.61,No
Anniston Army Depot (Southeast Industrial Area),Anniston,AL3210020027,03/13/1989,51.91,Yes
Ciba-Geigy Corp. (McIntosh Plant),McIntosh,ALD001221902,09/21/1984,53.42,No
Interstate Lead Co. (ILCO),Leeds,ALD041906173,06/10/1986,42.86,No
Olin Corp. (McIntosh Plant),McIntosh,ALD008188708,09/21/1984,39.71,No
Redstone Arsenal (USARMY/NASA),Huntsville,AL7210020742,05/31/1994,50.00,Yes
Stauffer Chemical Co. (Cold Creek Plant),Bucks,ALD095688875,09/21/1984,46.77,No
Stauffer Chemical Co. (LeMoyne Plant),Axis,ALD008161176,09/21/1984,32.34,No
T.H. Agriculture & Nutrition Co. (Montgomery Plant),Montgomery,ALD007454085,08/30/1990,44.46,No
Triana/Tennessee River,"Limestone, Morgan",ALD983166299,09/08/1983,61.42,No
Adak Naval Air Station,Adak,AK4170024323,05/31/1994,51.37,Yes
Eielson Air Force Base,Fairbanks North Star Borough,AK1570028646,11/21/1989,48.14,Yes
Elmendorf Air Force Base,Greater Anchorage Borough,AK8570028649,08/30/1990,45.91,Yes
Fort Richardson (USARMY),Anchorage,AK6214522157,05/31/1994,50.00,Yes
Fort Wainwright,Fairbanks North Star Borough,AK6210022426,08/30/1990,42.40,Yes
Salt Chuck Mine,Thorne Bay,AK0001897602,03/04/2010,50.00,No
Apache Powder Co.,St. David,AZD008399263,08/30/1990,39.09,No
Hassayampa Landfill,Hassayampa,AZD980735666,07/22/1987,42.79,No
Indian Bend Wash Area,Scottsdale,AZD980695969,09/08/1983,42.24,No
Iron King Mine - Humboldt Smelter,Dewey-Humboldt,AZ0000309013,09/03/2008,52.69,No
"Motorola, Inc. (52nd Street Plant)",Phoenix,AZD009004177,10/04/1989,40.83,No
Phoenix-Goodyear Airport Area,"Avondale, Goodyear",AZD980695902,09/08/1983,45.91,No
Tucson International Airport Area,Tucson,AZD980737530,09/08/1983,57.80,No
Williams Air Force Base,Chandler,AZ7570028582,11/21/1989,37.93,Yes
Yuma Marine Corps Air Station,Yuma,AZ0971590062,02/21/1990,32.24,Yes
"Arkwood, Inc.",Omaha,ARD084930148,03/31/1989,28.95,No
Cedar Chemical Corporation,West Helena,ARD990660649,09/18/2012,,No
MacMillan Ring Free Oil,Norphlet,ARD008049207,05/12/2014,50.00,No
Mid-South Wood Products,Mena,ARD092916188,09/08/1983,45.87,No
Midland Products,"Birta, Ola",ARD980745665,06/10/1986,30.77,No
Mountain Pine Pressure Treating,Plainview,ARD049658628,07/22/1999,41.93,No
Ouachita Nevada Wood Treater,Reader,ARD042755231,05/11/2000,50.00,No
"Popile, Inc.",El Dorado,ARD008052508,10/14/1992,50.03,No
"Vertac, Inc.",Jacksonville,ARD000023440,09/08/1983,65.46,No
"Advanced Micro Devices, Inc.",Sunnyvale,CAD048634059,06/10/1986,37.93,No
"Advanced Micro Devices, Inc. (Building 915)",Sunnyvale,CAT080034234,08/30/1990,31.94,No
Aerojet General Corp.,Rancho Cordova,CAD980358832,09/08/1983,54.63,No
Alameda Naval Air Station,Alameda,CA2170023236,07/22/1999,50.00,Yes
Alark Hard Chrome,Riverside,CAD098229214,12/01/2000,50.50,No
AMCO Chemical,Oakland,CA0001576081,09/29/2003,50.00,No
Applied Materials,Santa Clara,CAD042728840,07/22/1987,31.94,No
Argonaut Mine,Jackson,CAD983650011,09/09/2016,58.31,No
Atlas Asbestos Mine,Fresno County,CAD980496863,09/21/1984,45.55,No
Barstow Marine Corps Logistics Base,Barstow,CA8170024261,11/21/1989,37.93,Yes
Beckman Instruments (Porterville Plant),Porterville,CAD048645444,06/10/1986,34.21,No
Blue Ledge Mine,Rogue River - Siskiyou National Forest,CAN000906063,09/16/2011,50.28,No
"Brown & Bryant, Inc. (Arvin Plant)",Arvin,CAD052384021,10/04/1989,53.36,No
Camp Pendleton Marine Corps Base,San Diego County,CA2170023533,11/21/1989,33.79,Yes
Casmalia Resources,Casmalia,CAD020748125,09/13/2001,30.00,No
Castle Air Force Base (6 Areas),Merced,CA3570024551,07/22/1987,37.93,Yes
Coast Wood Preserving,Ukiah,CAD063015887,09/08/1983,44.73,No
Concord Naval Weapons Station,Concord,CA7170024528,12/16/1994,50.00,Yes
Cooper Drum Company,South Gate,CAD055753370,06/14/2001,50.00,No
Copper Bluff Mine,Hoopa,CAD980638225,05/15/2019,50.00,No
Crazy Horse Sanitary Landfill,Salinas,CAD980498455,08/30/1990,37.93,No
"CTS Printex, Inc.",Mountain View,CAD009212838,02/21/1990,33.62,No
Del Amo,Los Angeles,CAD029544731,09/05/2002,47.12,No
Edwards Air Force Base,Kern County,CA1570024504,08/30/1990,33.62,Yes
El Toro Marine Corps Air Station,El Toro,CA6170023208,02/21/1990,37.43,Yes
Fairchild Semiconductor Corp. (Mountain View Plant),Mountain View,CAD095989778,02/11/1991,31.94,No
Fairchild Semiconductor Corp. (South San Jose Plant),South San Jose,CAD097012298,10/04/1989,44.46,No
Fort Ord,Marina,CA7210020676,02/21/1990,42.24,Yes
Fresno Municipal Sanitary Landfill,Fresno,CAD980636914,10/04/1989,35.57,No
Frontier Fertilizer,Davis,CAD071530380,05/31/1994,35.04,No
George Air Force Base,Victorville,CA2570024453,02/21/1990,33.62,Yes
Halaco Engineering Company,Oxnard,CAD009688052,09/19/2007,58.31,No
Hewlett-Packard (620-640 Page Mill Road),Palo Alto,CAD980884209,02/21/1990,29.76,No
Hunters Point Naval Shipyard,San Francisco,CA1170090087,11/21/1989,48.77,Yes
Industrial Waste Processing,Fresno,CAD980736284,08/30/1990,51.13,No
Intel Corp. (Mountain View Plant),Mountain View,CAD061620217,06/10/1986,29.76,No
Intel Magnetics,Santa Clara,CAD092212497,06/10/1986,31.94,No
Intersil Inc./Siemens Components,Cupertino,CAD041472341,08/30/1990,28.90,No
Iron Mountain Mine,Redding,CAD980498612,09/08/1983,56.16,No
J.H. Baxter & Co.,Weed,CAD000625731,10/04/1989,34.78,No
Jasco Chemical Corp.,Mountain View,CAD009103318,10/04/1989,35.36,No
Jervis B. Webb Co.,South Gate,CAD008339467,05/10/2012,45.76,No
Jet Propulsion Laboratory (NASA),Pasadena,CA9800013030,10/14/1992,50.00,Yes
Klau/Buena Vista Mine,Paso Robles,CA1141190578,04/19/2006,50.00,No
"Koppers Co., Inc. (Oroville Plant)",Oroville,CAD009112087,09/21/1984,33.73,No
Laboratory for Energy-Related Health Research/Old Campus Landfill (USDOE),Davis,CA2890190000,05/31/1994,50.00,Yes
Lava Cap Mine,Nevada City,CAD983618893,01/19/1999,33.66,No
Lawrence Livermore Laboratory (USDOE),Livermore,CA2890012584,07/22/1987,42.24,Yes
Lawrence Livermore National Laboratory (Site 300) (USDOE),Livermore,CA2890090002,08/30/1990,31.58,Yes
Leviathan Mine,Markleeville,CAD980673685,05/11/2000,50.00,No
Lorentz Barrel & Drum Co.,San Jose,CAD029295706,10/04/1989,33.94,No
March Air Force Base,Riverside,CA4570024527,11/21/1989,31.94,Yes
Mather Air Force Base,Sacramento,CA8570024143,07/22/1987,28.90,Yes
McClellan Air Force Base (Ground Water Contamination),Sacramento,CA4570024337,07/22/1987,57.93,Yes
McColl,Fullerton,CAD980498695,09/08/1983,41.77,No
McCormick & Baxter Creosoting Co.,Stockton,CAD009106527,10/14/1992,74.86,No
Modesto Ground Water Contamination,Modesto,CAD981997752,03/31/1989,28.90,No
Moffett Naval Air Station,Sunnyvale,CA2170090078,07/22/1987,29.49,Yes
Monolithic Memories,Sunnyvale,CAD049236201,07/22/1987,35.57,No
Montrose Chemical Corp.,Torrance,CAD008242711,10/04/1989,32.10,No
National Semiconductor Corp.,Santa Clara,CAD041472986,07/22/1987,35.57,No
New Idria Mercury Mine,Idria,CA0001900463,09/16/2011,31.66,No
Newmark Ground Water Contamination,San Bernardino,CAD981434517,03/31/1989,35.57,No
Norton Air Force Base,San Bernardino,CA4570024345,07/22/1987,39.65,Yes
Omega Chemical Corporation,Whittier,CAD042245001,01/19/1999,30.94,No
"Operating Industries, Inc., Landfill",Monterey Park,CAT080012024,06/10/1986,57.22,No
Pacific Coast Pipe Lines,Fillmore,CAD980636781,10/04/1989,46.01,No
Pemaco Maywood,Maywood,CAD980737092,01/19/1999,45.23,No
"Purity Oil Sales, Inc.",Malaga,CAD980736151,09/08/1983,43.27,No
Raytheon Corp.,Mountain View,CAD009205097,06/10/1986,29.76,No
Riverbank Army Ammunition Plant,Riverbank,CA7210020759,02/21/1990,63.94,Yes
"Rockets, Fireworks, and Flares (RFF)",Rialto,CAN000905945,09/23/2009,50.00,No
Sacramento Army Depot,Sacramento,CA0210020780,07/22/1987,44.46,Yes
San Fernando Valley (Area 1),Los Angeles,CAD980894893,06/10/1986,42.24,No
San Fernando Valley (Area 2),"Glendale, Los Angeles",CAD980894901,06/10/1986,42.24,No
San Fernando Valley (Area 4),Los Angeles,CAD980894976,06/10/1986,35.57,No
San Gabriel Valley (Area 1),El Monte,CAD980677355,05/08/1984,42.24,No
San Gabriel Valley (Area 2),Baldwin Park Area,CAD980818512,05/08/1984,42.24,No
San Gabriel Valley (Area 3),Alhambra,CAD980818579,05/08/1984,28.90,No
San Gabriel Valley (Area 4),La Puente,CAD980817985,05/08/1984,28.90,No
Selma Treating Co.,Selma,CAD029452141,09/08/1983,48.83,No
Sharpe Army Depot,Lathrop,CA8210020832,07/22/1987,42.24,Yes
South Bay Asbestos Area,Alviso,CAD980894885,06/10/1986,44.68,No
Southern Avenue Industrial Area,South Gate,CAN000905902,05/10/2012,50.00,No
"Spectra-Physics, Inc.",Mountain View,CAD009138488,02/11/1991,37.20,No
Stringfellow,Glen Avon Heights,CAT080012826,09/08/1983,,No
Sulphur Bank Mercury Mine,Clear Lake,CAD980893275,08/30/1990,44.42,No
"Synertek, Inc. (Building 1)",Santa Clara,CAD990832735,10/04/1989,31.94,No
Teledyne Semiconductor,Mountain View,CAD009111444,07/22/1987,35.35,No
Tracy Defense Depot (USARMY),Tracy,CA4971520834,08/30/1990,37.16,Yes
Travis Air Force Base,Solano County,CA5570024575,11/21/1989,29.49,Yes
"TRW Microwave, Inc. (Building 825)",Sunnyvale,CAD009159088,02/21/1990,31.94,No
United Heckathorn Co.,Richmond,CAD981436363,03/14/1990,38.49,No
"Valley Wood Preserving, Inc.",Turlock,CAD063020143,03/31/1989,32.01,No
"Waste Disposal, Inc.",Santa Fe Springs,CAD980884357,07/22/1987,34.60,No
Watkins-Johnson Co. (Stewart Division Plant),Scotts Valley,CAD980893234,08/30/1990,28.90,No
Westinghouse Electric Corp. (Sunnyvale Plant),Sunnyvale,CAD001864081,06/10/1986,39.93,No
Air Force Plant PJKS,Waterton,CO7570090038,11/21/1989,42.93,Yes
Bonita Peak Mining District,San Juan County,CON000802497,09/09/2016,50.00,No
Broderick Wood Products,Denver,COD000110254,09/21/1984,35.13,No
California Gulch,Leadville,COD980717938,09/08/1983,55.84,No
Captain Jack Mill,Ward,COD981551427,09/29/2003,50.56,No
"Central City, Clear Creek",Idaho Springs,COD980717557,09/08/1983,51.39,No
Chemical Sales Co.,Denver,COD007431620,08/30/1990,37.93,No
Colorado Smelter,Pueblo,CON000802700,12/11/2014,50.00,No
Denver Radium Site,Denver,COD980716955,09/08/1983,44.11,No
Eagle Mine,"Minturn, Redcliff",COD081961518,06/10/1986,47.19,No
Lincoln Park,Canon City,COD042167858,09/21/1984,31.31,No
Lowry Landfill,Arapahoe County,COD980499248,09/21/1984,48.36,No
Marshall Landfill,Boulder County,COD980499255,09/08/1983,,No
Nelson Tunnel/Commodore Waste Rock,Creede,CON000802630,09/03/2008,48.03,No
Rocky Flats Plant (USDOE),Golden,CO7890010526,10/04/1989,64.32,Yes
Rocky Mountain Arsenal (USARMY),Adams County,CO5210020769,07/22/1987,58.15,Yes
Standard Mine,Gunnison National Forest,CO0002378230,09/14/2005,50.00,No
Summitville Mine,Rio Grande County,COD983778432,05/31/1994,50.00,No
Uravan Uranium Project (Union Carbide Corp.),Uravan,COD007063274,06/10/1986,43.53,No
Vasquez Boulevard and I-70,Denver,CO0002259588,07/22/1999,50.00,No
Barkhamsted-New Hartford Landfill,Barkhamsted,CTD980732333,10/04/1989,38.05,No
