State,FIPS,Average Annual Count,Recent Trend,incidence_rate_trend,county,State_Code,Cancer_Rate
Florida,12125,208,falling,-4.6,Union,FL,1.135
Nebraska,31113,7,stable,1.2,Logan,NE,0.6772
Kentucky,21197,92,stable,1.1,Powell,KY,0.6462000000000001
Kentucky,21217,196,rising,1.4,Taylor,KY,0.6233
Kentucky,21201,19,stable,2.2,Robertson,KY,0.6116
Kentucky,21181,55,stable,1.4,Nicholas,KY,0.603
Nebraska,31009,4,stable,7.8,Blaine,NE,0.598
South Dakota,46077,45,stable,0.6,Kingsbury,SD,0.5978
Kentucky,21065,110,stable,-7.8,Estill,KY,0.5974
Kentucky,21041,74,stable,0.0,Carroll,KY,0.5967999999999999
Montana,30037,8,stable,-7.1,Golden Valley,MT,0.5963999999999999
Nebraska,31171,6,stable,-14.3,Thomas,NE,0.5943999999999999
Nebraska,31163,26,stable,10.5,Sherman,NE,0.5935
Iowa,19147,75,stable,11.4,Palo Alto,IA,0.5932000000000001
Arkansas,5147,57,stable,5.3,Woodruff,AR,0.5927000000000001
Louisiana,22025,74,stable,-6.6,Catahoula,LA,0.5921
Kentucky,21193,199,stable,0.6,Perry,KY,0.5907000000000001
Kentucky,21071,279,stable,-0.3,Floyd,KY,0.5898
Kentucky,21223,62,stable,1.9,Trimble,KY,0.5895
Kentucky,21127,115,stable,0.7,Lawrence,KY,0.5895
Georgia,13227,249,rising,1.2,Pickens,GA,0.5808
Kentucky,21043,197,stable,0.9,Carter,KY,0.5806
Texas,48373,374,stable,0.4,Polk,TX,0.5764
Montana,30079,12,stable,11.7,Prairie,MT,0.575
Kentucky,21189,35,stable,1.0,Owsley,KY,0.5746
South Dakota,46061,20,stable,7.5,Hanson,SD,0.5728000000000001
Kentucky,21167,160,stable,0.5,Mercer,KY,0.5727
Kentucky,21023,59,stable,0.9,Bracken,KY,0.5719
Kentucky,21237,56,stable,-0.7,Wolfe,KY,0.5717000000000001
North Carolina,37173,108,stable,2.5,Swain,NC,0.5715
South Dakota,46097,20,stable,-1.8,Miner,SD,0.5698
West Virginia,54015,68,stable,-2.5,Clay,WV,0.5690999999999999
Kentucky,21049,251,stable,-4.6,Clark,KY,0.5667
West Virginia,54059,181,stable,1.6,Mingo,WV,0.5657000000000001
Mississippi,28161,96,stable,-6.7,Yalobusha,MS,0.5656
Illinois,17107,216,stable,-0.1,Logan,IL,0.5654999999999999
North Dakota,38065,15,stable,7.4,Oliver,ND,0.5642999999999999
Kentucky,21229,85,rising,1.5,Washington,KY,0.5635
Kentucky,21171,81,rising,2.0,Monroe,KY,0.5631
West Virginia,54045,266,stable,-1.0,Logan,WV,0.563
Wisconsin,55125,230,stable,-1.7,Vilas,WI,0.5628
Georgia,13281,116,stable,0.1,Towns,GA,0.5627
New Jersey,34009,878,stable,-0.3,Cape May,NJ,0.5615
New York,36041,49,stable,-0.8,Hamilton,NY,0.5611
Iowa,19053,57,stable,0.5,Decatur,IA,0.5606
Kentucky,21155,127,stable,-0.2,Marion,KY,0.5599999999999999
Kentucky,21051,135,rising,1.0,Clay,KY,0.5599999999999999
Kentucky,21025,92,stable,1.4,Breathitt,KY,0.5596
Kentucky,21121,214,stable,0.5,Knox,KY,0.5595
Kentucky,21135,99,stable,1.0,Lewis,KY,0.557
New Jersey,34033,460,stable,-0.1,Salem,NJ,0.5565
Kentucky,21011,83,stable,-1.5,Bath,KY,0.5564
Kentucky,21173,177,stable,0.5,Montgomery,KY,0.5559000000000001
Iowa,19059,153,stable,0.4,Dickinson,IA,0.5559000000000001
Kentucky,21129,51,stable,0.9,Lee,KY,0.5559000000000001
Ohio,39163,91,stable,5.4,Vinton,OH,0.5555
Illinois,17039,121,stable,-0.8,De Witt,IL,0.5542
New York,36113,516,stable,0.2,Warren,NY,0.5539999999999999
Kentucky,21149,69,stable,0.8,McLean,KY,0.5535
Kentucky,21029,485,stable,0.2,Bullitt,KY,0.5532
Kentucky,21203,117,rising,0.9,Rockcastle,KY,0.5532
Pennsylvania,42093,143,stable,1.2,Montour,PA,0.5531
