County,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate
Union,0,0.0,0,-4.6,falling,1.135
Logan,0,0.0,1,1.2,stable,0.6772
Powell,0,0.0,0,1.1,stable,0.6462000000000001
Taylor,0,0.0,1,1.4,rising,0.6233
Robertson,0,0.0,0,2.2,stable,0.6116
Nicholas,0,0.0,0,1.4,stable,0.603
Blaine,0,0.0,0,7.8,stable,0.598
Kingsbury,0,0.0,1,0.6,stable,0.5978
Estill,0,0.0,1,-7.8,stable,0.5974
Carroll,0,0.0,0,0.0,stable,0.5967999999999999
Golden Valley,0,0.0,0,-7.1,stable,0.5963999999999999
Thomas,0,0.0,0,-14.3,stable,0.5943999999999999
Sherman,0,0.0,0,10.5,stable,0.5935
Palo Alto,0,0.0,1,11.4,stable,0.5932000000000001
Woodruff,0,0.0,1,5.3,stable,0.5927000000000001
Catahoula,0,0.0,0,-6.6,stable,0.5921
Perry,0,0.0,0,0.6,stable,0.5907000000000001
Floyd,0,0.0,0,-0.3,stable,0.5898
Trimble,0,0.0,1,1.9,stable,0.5895
Lawrence,0,0.0,2,0.7,stable,0.5895
Pickens,0,0.0,0,1.2,rising,0.5808
Carter,0,0.0,0,0.9,stable,0.5806
Polk,0,0.0,0,0.4,stable,0.5764
Prairie,0,0.0,0,11.7,stable,0.575
Owsley,0,0.0,0,1.0,stable,0.5746
Hanson,0,0.0,0,7.5,stable,0.5728000000000001
Mercer,0,0.0,0,0.5,stable,0.5727
Bracken,0,0.0,0,0.9,stable,0.5719
Wolfe,0,0.0,0,-0.7,stable,0.5717000000000001
Swain,0,0.0,0,2.5,stable,0.5715
Miner,0,0.0,0,-1.8,stable,0.5698
Clay,0,0.0,0,-2.5,stable,0.5690999999999999
Clark,0,0.0,1,-4.6,stable,0.5667
Mingo,0,0.0,0,1.6,stable,0.5657000000000001
Yalobusha,0,0.0,0,-6.7,stable,0.5656
Logan,0,0.0,0,-0.1,stable,0.5654999999999999
