Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude,Fips
Teledyne Semiconductor,35.35,California,Santa Clara,NPL Site,37.4108,-122.0797,6085
"TRW Microwave, Inc. (Building 825)",31.94,California,Santa Clara,NPL Site,37.3846,-122.0085,6085
Fairchild Semiconductor Corp. (Mountain View Plant),31.94,California,Santa Clara,NPL Site,37.4012,-122.0542,6085
Sacramento Army Depot,44.46,California,Sacramento,NPL Site,38.520281,-121.3958,6067
Intel Corp. (Mountain View Plant),29.76,California,Santa Clara,NPL Site,37.3962,-122.0566,6085
Raytheon Corp.,29.76,California,Santa Clara,NPL Site,37.3975,-122.0533,6085
Moffett Naval Air Station,29.49,California,Santa Clara,NPL Site,37.411389,-122.0522,6085
"Waste Disposal, Inc.",34.6,California,Los Angeles,NPL Site,33.95,-118.055,6037
Riverbank Army Ammunition Plant,63.94,California,Stanislaus,NPL Site,37.71695,-120.9181,6099
Watkins-Johnson Co. (Stewart Division Plant),28.9,California,Santa Cruz,NPL Site,37.051111,-122.029028,6087
Fresno Municipal Sanitary Landfill,35.57,California,Fresno,NPL Site,36.704169,-119.8261,6019
Barstow Marine Corps Logistics Base,37.93,California,San Bernardino,NPL Site,34.878331,-116.9389,6071
United Heckathorn Co.,38.49,California,Contra Costa,NPL Site,37.9226,-122.3654,6013
"Brown & Bryant, Inc. (Arvin Plant)",53.36,California,Kern,NPL Site,35.203061,-118.822,6029
Newmark Ground Water Contamination,35.57,California,San Bernardino,NPL Site,34.171811,-117.3131,6071
Hewlett-Packard (620-640 Page Mill Road),29.76,California,Santa Clara,NPL Site,37.4214,-122.1434,6085
Fort Ord,42.24,California,Monterey,NPL Site,36.625,-121.75,6053
"CTS Printex, Inc.",33.62,California,Santa Clara,NPL Site,37.4165,-122.0872,6085
Camp Pendleton Marine Corps Base,33.79,California,San Diego,NPL Site,33.306669,-117.3408,6073
Intersil Inc./Siemens Components,28.9,California,Santa Clara,NPL Site,37.3361,-122.0015,6085
Sulphur Bank Mercury Mine,44.42,California,Lake,NPL Site,39.00555,-122.6703,6033
March Air Force Base,31.94,California,Riverside,NPL Site,33.906389000000004,-117.2557,6065
"Spectra-Physics, Inc.",37.2,California,Santa Clara,NPL Site,37.40805,-122.0786,6085
Crazy Horse Sanitary Landfill,37.93,California,Monterey,NPL Site,36.8026,-121.6186,6053
El Toro Marine Corps Air Station,37.43,California,Orange,NPL Site,33.676669,-117.7176,6059
George Air Force Base,33.62,California,San Bernardino,NPL Site,34.595,-117.3833,6071
"Advanced Micro Devices, Inc. (Building 915)",31.94,California,Santa Clara,NPL Site,37.3868,-122.0066,6085
"Synertek, Inc. (Building 1)",31.94,California,Santa Clara,NPL Site,37.3773,-121.9719,6085
Modesto Ground Water Contamination,28.9,California,Stanislaus,NPL Site,37.6591,-120.9964,6099
Jasco Chemical Corp.,35.36,California,Santa Clara,NPL Site,37.3988,-122.0882,6085
Pacific Coast Pipe Lines,46.01,California,Ventura,NPL Site,34.404169,-118.9028,6111
Hunters Point Naval Shipyard,48.77,California,San Francisco,NPL Site,37.72229,-122.36732,6075
Lawrence Livermore National Laboratory (Site 300) (USDOE),31.58,California,Alameda,NPL Site,37.644306,-121.576667,6001
Tracy Defense Depot (USARMY),37.16,California,San Joaquin,NPL Site,37.715281,-121.3911,6077
Travis Air Force Base,29.49,California,Solano,NPL Site,38.26445,-121.9332,6095
Edwards Air Force Base,33.62,California,Kern,NPL Site,34.949439,-117.8857,6029
Industrial Waste Processing,51.13,California,Fresno,NPL Site,36.8425,-119.8094,6019
