County,State,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Generation_5years_Total,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate,NPL_Status,Powerplants_Status
Union,Florida,0,0.0,0,0.0,-4.6,falling,1.135,No NPL Sites,No Harmful Powerplants
Logan,Nebraska,0,0.0,1,0.0069,1.2,stable,0.6772,No NPL Sites,One Harmful Powerplants
Powell,Kentucky,0,0.0,0,0.0,1.1,stable,0.6462000000000001,No NPL Sites,No Harmful Powerplants
Taylor,Kentucky,0,0.0,1,57.43564,1.4,rising,0.6233,No NPL Sites,One Harmful Powerplants
Robertson,Kentucky,0,0.0,0,0.0,2.2,stable,0.6116,No NPL Sites,No Harmful Powerplants
Nicholas,Kentucky,0,0.0,0,0.0,1.4,stable,0.603,No NPL Sites,No Harmful Powerplants
Blaine,Nebraska,0,0.0,0,0.0,7.8,stable,0.598,No NPL Sites,No Harmful Powerplants
Kingsbury,South Dakota,0,0.0,1,1.686,0.6,stable,0.5978,No NPL Sites,One Harmful Powerplants
Estill,Kentucky,0,0.0,1,27.291,-7.8,stable,0.5974,No NPL Sites,One Harmful Powerplants
Carroll,Kentucky,0,0.0,0,0.0,0.0,stable,0.5967999999999999,No NPL Sites,No Harmful Powerplants
Golden Valley,Montana,0,0.0,0,265.73,-7.1,stable,0.5963999999999999,No NPL Sites,No Harmful Powerplants
Thomas,Nebraska,0,0.0,0,0.0,-14.3,stable,0.5943999999999999,No NPL Sites,No Harmful Powerplants
Sherman,Nebraska,0,0.0,0,0.0,10.5,stable,0.5935,No NPL Sites,No Harmful Powerplants
Palo Alto,Iowa,0,0.0,1,0.068,11.4,stable,0.5932000000000001,No NPL Sites,One Harmful Powerplants
Woodruff,Arkansas,0,0.0,1,83.404,5.3,stable,0.5927000000000001,No NPL Sites,One Harmful Powerplants
Catahoula,Louisiana,0,0.0,0,0.0,-6.6,stable,0.5921,No NPL Sites,No Harmful Powerplants
Perry,Kentucky,0,0.0,0,0.0,0.6,stable,0.5907000000000001,No NPL Sites,No Harmful Powerplants
Floyd,Kentucky,0,0.0,0,0.0,-0.3,stable,0.5898,No NPL Sites,No Harmful Powerplants
Trimble,Kentucky,0,0.0,1,42513.36797099999,1.9,stable,0.5895,No NPL Sites,One Harmful Powerplants
Lawrence,Kentucky,0,0.0,2,13032.73303,0.7,stable,0.5895,No NPL Sites,Two Harmful Powerplants
Pickens,Georgia,0,0.0,0,0.0,1.2,rising,0.5808,No NPL Sites,No Harmful Powerplants
Carter,Kentucky,0,0.0,0,0.0,0.9,stable,0.5806,No NPL Sites,No Harmful Powerplants
Polk,Texas,0,0.0,0,0.0,0.4,stable,0.5764,No NPL Sites,No Harmful Powerplants
Prairie,Montana,0,0.0,0,0.0,11.7,stable,0.575,No NPL Sites,No Harmful Powerplants
Owsley,Kentucky,0,0.0,0,0.0,1.0,stable,0.5746,No NPL Sites,No Harmful Powerplants
Hanson,South Dakota,0,0.0,0,0.0,7.5,stable,0.5728000000000001,No NPL Sites,No Harmful Powerplants
Mercer,Kentucky,0,0.0,0,0.0,0.5,stable,0.5727,No NPL Sites,No Harmful Powerplants
Bracken,Kentucky,0,0.0,0,874.1080000000002,0.9,stable,0.5719,No NPL Sites,No Harmful Powerplants
Wolfe,Kentucky,0,0.0,0,0.0,-0.7,stable,0.5717000000000001,No NPL Sites,No Harmful Powerplants
Swain,North Carolina,0,0.0,0,0.0,2.5,stable,0.5715,No NPL Sites,No Harmful Powerplants
Miner,South Dakota,0,0.0,0,0.0,-1.8,stable,0.5698,No NPL Sites,No Harmful Powerplants
Clay,West Virginia,0,0.0,0,0.0,-2.5,stable,0.5690999999999999,No NPL Sites,No Harmful Powerplants
Clark,Kentucky,0,0.0,1,1596.571005,-4.6,stable,0.5667,No NPL Sites,One Harmful Powerplants
Mingo,West Virginia,0,0.0,0,0.0,1.6,stable,0.5657000000000001,No NPL Sites,No Harmful Powerplants
Yalobusha,Mississippi,0,0.0,0,0.0,-6.7,stable,0.5656,No NPL Sites,No Harmful Powerplants
Logan,Illinois,0,0.0,0,0.0,-0.1,stable,0.5654999999999999,No NPL Sites,No Harmful Powerplants
Oliver,North Dakota,0,0.0,1,32270.769042000004,7.4,stable,0.5642999999999999,No NPL Sites,One Harmful Powerplants
Washington,Kentucky,0,0.0,0,0.0,1.5,rising,0.5635,No NPL Sites,No Harmful Powerplants
Monroe,Kentucky,0,0.0,0,0.0,2.0,rising,0.5631,No NPL Sites,No Harmful Powerplants
Logan,West Virginia,0,0.0,0,0.0,-1.0,stable,0.563,No NPL Sites,No Harmful Powerplants
Vilas,Wisconsin,0,0.0,0,0.0,-1.7,stable,0.5628,No NPL Sites,No Harmful Powerplants
Towns,Georgia,0,0.0,0,0.0,0.1,stable,0.5627,No NPL Sites,No Harmful Powerplants
Cape May,New Jersey,1,40.45,1,65.51100000000001,-0.3,stable,0.5615,Have NPL Sites,One Harmful Powerplants
Hamilton,New York,0,0.0,0,0.0,-0.8,stable,0.5611,No NPL Sites,No Harmful Powerplants
Decatur,Iowa,0,0.0,1,0.425,0.5,stable,0.5606,No NPL Sites,One Harmful Powerplants
Marion,Kentucky,0,0.0,0,0.0,-0.2,stable,0.5599999999999999,No NPL Sites,No Harmful Powerplants
Clay,Kentucky,0,0.0,0,0.0,1.0,rising,0.5599999999999999,No NPL Sites,No Harmful Powerplants
Breathitt,Kentucky,0,0.0,0,0.0,1.4,stable,0.5596,No NPL Sites,No Harmful Powerplants
Knox,Kentucky,0,0.0,0,0.0,0.5,stable,0.5595,No NPL Sites,No Harmful Powerplants
Lewis,Kentucky,0,0.0,0,0.0,1.0,stable,0.557,No NPL Sites,No Harmful Powerplants
Salem,New Jersey,1,52.96,2,4007.4403810000003,-0.1,stable,0.5565,Have NPL Sites,Two Harmful Powerplants
Bath,Kentucky,0,0.0,0,0.0,-1.5,stable,0.5564,No NPL Sites,No Harmful Powerplants
Montgomery,Kentucky,0,0.0,0,0.0,0.5,stable,0.5559000000000001,No NPL Sites,No Harmful Powerplants
Dickinson,Iowa,0,0.0,2,5283.464,0.4,stable,0.5559000000000001,No NPL Sites,Two Harmful Powerplants
Lee,Kentucky,0,0.0,0,0.0,0.9,stable,0.5559000000000001,No NPL Sites,No Harmful Powerplants
Vinton,Ohio,0,0.0,0,0.0,5.4,stable,0.5555,No NPL Sites,No Harmful Powerplants
De Witt,Illinois,0,0.0,3,43256.035,-0.8,stable,0.5542,No NPL Sites,More Than Two Harmful Powerplants
Warren,New York,0,0.0,1,2353.364207,0.2,stable,0.5539999999999999,No NPL Sites,One Harmful Powerplants
McLean,Kentucky,1,52.73,1,15335.711956,0.8,stable,0.5535,Have NPL Sites,One Harmful Powerplants
Bullitt,Kentucky,2,66.50999999999999,1,47.652,0.2,stable,0.5532,Have NPL Sites,One Harmful Powerplants
Rockcastle,Kentucky,0,0.0,0,0.0,0.9,rising,0.5532,No NPL Sites,No Harmful Powerplants
Montour,Pennsylvania,1,46.44,1,23317.284023000004,1.2,stable,0.5531,Have NPL Sites,One Harmful Powerplants
Holmes,Mississippi,0,0.0,0,0.0,4.9,stable,0.5529999999999999,No NPL Sites,No Harmful Powerplants
Franklin,Illinois,0,0.0,0,0.0,-1.4,stable,0.5529000000000001,No NPL Sites,No Harmful Powerplants
Renville,North Dakota,0,0.0,0,0.0,7.5,stable,0.5518000000000001,No NPL Sites,No Harmful Powerplants
Clinton,Kentucky,0,0.0,0,0.0,1.1,stable,0.5513,No NPL Sites,No Harmful Powerplants
Harlan,Kentucky,1,50.0,0,0.0,0.4,stable,0.5498,Have NPL Sites,No Harmful Powerplants
Osceola,Michigan,0,0.0,2,127.85813000000002,-0.7,stable,0.5492,No NPL Sites,Two Harmful Powerplants
Laurel,Kentucky,0,0.0,1,102.69200000000001,0.4,stable,0.5489999999999999,No NPL Sites,One Harmful Powerplants
Letcher,Kentucky,0,0.0,0,0.0,0.1,stable,0.5487000000000001,No NPL Sites,No Harmful Powerplants
Erie,New York,0,0.0,2,3250.7065100000013,-0.4,stable,0.5485,No NPL Sites,Two Harmful Powerplants
McCook,South Dakota,0,0.0,0,0.0,-7.4,falling,0.5484,No NPL Sites,No Harmful Powerplants
Leslie,Kentucky,0,0.0,0,0.0,0.9,stable,0.5482999999999999,No NPL Sites,No Harmful Powerplants
Macon,Illinois,0,0.0,3,6908.725442999998,0.0,stable,0.5479,No NPL Sites,More Than Two Harmful Powerplants
Scott,Illinois,0,0.0,1,36.529,-5.6,stable,0.5475,No NPL Sites,One Harmful Powerplants
Lincoln,Kentucky,0,0.0,0,0.0,0.3,stable,0.5464,No NPL Sites,No Harmful Powerplants
Russell,Kentucky,0,0.0,0,4689.62,0.6,stable,0.5462,No NPL Sites,No Harmful Powerplants
Morgan,Indiana,1,50.0,0,0.0,1.4,stable,0.5461,Have NPL Sites,No Harmful Powerplants
Union,Georgia,0,0.0,0,0.0,0.4,stable,0.546,No NPL Sites,No Harmful Powerplants
Fulton,New York,1,48.36,1,61.526,-0.2,stable,0.546,Have NPL Sites,One Harmful Powerplants
Yukon-Koyukuk,Alaska,0,0.0,0,0.0,5.9,stable,0.5457,No NPL Sites,No Harmful Powerplants
Christian,Illinois,1,28.95,2,25767.037115000006,2.8,stable,0.5456,Have NPL Sites,Two Harmful Powerplants
Webster,West Virginia,0,0.0,0,0.0,-1.2,stable,0.545,No NPL Sites,No Harmful Powerplants
Petersburg City,Virginia,0,0.0,0,0.0,-0.7,stable,0.5447000000000001,No NPL Sites,No Harmful Powerplants
