Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude
Teledyne Semiconductor,35.35,California,Santa Clara,NPL Site,37.4108,-122.0797
"TRW Microwave, Inc. (Building 825)",31.94,California,Santa Clara,NPL Site,37.3846,-122.0085
Fairchild Semiconductor Corp. (Mountain View Plant),31.94,California,Santa Clara,NPL Site,37.4012,-122.0542
Sacramento Army Depot,44.46,California,Sacramento,NPL Site,38.520281,-121.3958
Intel Corp. (Mountain View Plant),29.76,California,Santa Clara,NPL Site,37.3962,-122.0566
Raytheon Corp.,29.76,California,Santa Clara,NPL Site,37.3975,-122.0533
Moffett Naval Air Station,29.49,California,Santa Clara,NPL Site,37.411389,-122.0522
"Waste Disposal, Inc.",34.6,California,Los Angeles,NPL Site,33.95,-118.055
Riverbank Army Ammunition Plant,63.94,California,Stanislaus,NPL Site,37.71695,-120.9181
Watkins-Johnson Co. (Stewart Division Plant),28.9,California,Santa Cruz,NPL Site,37.051111,-122.029028
Fresno Municipal Sanitary Landfill,35.57,California,Fresno,NPL Site,36.704169,-119.8261
Barstow Marine Corps Logistics Base,37.93,California,San Bernardino,NPL Site,34.878331,-116.9389
United Heckathorn Co.,38.49,California,Contra Costa,NPL Site,37.9226,-122.3654
"Brown & Bryant, Inc. (Arvin Plant)",53.36,California,Kern,NPL Site,35.203061,-118.822
Newmark Ground Water Contamination,35.57,California,San Bernardino,NPL Site,34.171811,-117.3131
Hewlett-Packard (620-640 Page Mill Road),29.76,California,Santa Clara,NPL Site,37.4214,-122.1434
Fort Ord,42.24,California,Monterey,NPL Site,36.625,-121.75
"CTS Printex, Inc.",33.62,California,Santa Clara,NPL Site,37.4165,-122.0872
Camp Pendleton Marine Corps Base,33.79,California,San Diego,NPL Site,33.306669,-117.3408
Intersil Inc./Siemens Components,28.9,California,Santa Clara,NPL Site,37.3361,-122.0015
Sulphur Bank Mercury Mine,44.42,California,Lake,NPL Site,39.00555,-122.6703
March Air Force Base,31.94,California,Riverside,NPL Site,33.906389000000004,-117.2557
"Spectra-Physics, Inc.",37.2,California,Santa Clara,NPL Site,37.40805,-122.0786
Crazy Horse Sanitary Landfill,37.93,California,Monterey,NPL Site,36.8026,-121.6186
El Toro Marine Corps Air Station,37.43,California,Orange,NPL Site,33.676669,-117.7176
George Air Force Base,33.62,California,San Bernardino,NPL Site,34.595,-117.3833
