country,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,state,normalized_county,5years_generation_gwh
USA,12 Applegate Solar LLC,1.9,40.2003,-74.5761,Solar,2012,New Jersey,Monmouth,11.962610000000002
USA,126 Grove Solar LLC,2.0,42.0761,-71.4227,Solar,2012,Massachusetts,Norfolk,
USA,1420 Coil Av #C,1.3,33.7943,-118.2414,Solar,2011,California,Los Angeles,8.444
USA,145 Talmadge Solar,3.8,40.5358,-74.3913,Solar,2011,New Jersey,Middlesex,24.232
USA,1515 S Caron Road,4.2,41.9084,-89.0466,Gas,2000,Illinois,Ogle,1.234
USA,158th Fighter Wing Solar Farm,1.3,44.4777,-73.1534,Solar,2011,Vermont,Chittenden,
USA,180 Raritan Solar,1.9,40.5161,-74.34,Solar,2012,New Jersey,Middlesex,13.057
USA,191 Peachtree Tower,2.4,33.7583,-84.3869,Oil,1991,Georgia,Fulton,0.0
USA,201 Sturbridge B,2.0,42.1091,-72.1712,Solar,2014,Massachusetts,Hampden,
USA,205 Sturbridge A,3.0,42.1093,-72.1705,Solar,2014,Massachusetts,Hampden,
USA,2081 Terzian Solar Project,1.2,36.67,-119.4158,Solar,2014,California,Fresno,
USA,2097 Helton Solar Project,1.5,37.3522,-120.5069,Solar,2014,California,Merced,
USA,2127 Harris Solar Project,1.3,39.2917,-121.6697,Solar,2014,California,Sutter,
USA,231 Dixon 74 Solar I  LLC,2.0,35.2441,-81.4304,Solar,2017,North Carolina,Cleveland,
USA,24 Applegate Solar LLC,4.9,40.2058,-74.5797,Solar,2014,New Jersey,Monmouth,
USA,2555 E Olympic Bl,1.0,34.0269,-118.2242,Solar,2012,California,Los Angeles,7.6
USA,265 Pleasant Solar NG  LLC,2.2,42.5814,-71.7622,Solar,2014,Massachusetts,Worcester,
USA,301 Chestnut Solar NG,4.3,42.0552,-72.5218,Solar,2017,Massachusetts,Hampden,
USA,350 Clark Solar  NG  LLC,1.8,40.8942,-74.7302,Solar,2011,New Jersey,Sussex,
USA,4 Applegate Solar LLC,1.8,40.1964,-74.5836,Solar,2012,New Jersey,Monmouth,10.62237
USA,433 Purchase Solar NG  LLC,2.5,41.8094,-71.1922,Solar,2012,Massachusetts,Bristol,
USA,45 Mile Hydroelectric Project,3.0,44.5281,-121.1528,Hydro,2015,Oregon,Jefferson,
USA,491 E 48th Street,161.7,42.7553,-86.0853,Gas,1996,Michigan,Ottawa,110.17
USA,4Oaks,5.0,35.4325,-78.4117,Solar,2015,North Carolina,Johnston,
USA,500 Virginia Solar,1.0,40.1392,-75.1917,Solar,2011,Pennsylvania,Montgomery,
USA,500MW CC,528.0,40.7889,-73.9069,Gas,2006,New York,New York,14516.959095
USA,510 REPP One,1.3,36.4972,-77.6058,Solar,2014,North Carolina,Northampton,
USA,59th Street,17.1,40.7713,-73.9912,Gas,1969,New Jersey,Hudson,0.788
USA,651 Chase Solar NG,2.5,42.6267,-71.7428,Solar,2014,Massachusetts,Worcester,
USA,74th Street,37.0,40.768,-73.9515,Oil,1968,New York,New York,2.459
USA,85 A,14.1,35.1011,-118.3372,Wind,1985,California,Kern,81.359
USA,85 B,21.2,35.1011,-118.3372,Wind,1985,California,Kern,102.556
USA,99 Islands,18.0,35.0314,-81.4936,Hydro,1910,South Carolina,Cherokee,327.587
USA,A B Brown,706.8,37.9053,-87.715,Coal,1985,Kentucky,Henderson,9039.80299
USA,A G Wishon,12.8,37.151,-119.5047,Hydro,1910,California,Fresno,99.647
USA,A L Pierce,84.0,41.4482,-72.8349,Gas,2007,Connecticut,New Haven,32.898
USA,ABC Coke,3.8,33.5828,-86.7799,Gas,1997,Alabama,Jefferson,35.550999999999995
USA,ABD Farms,5.0,35.7287,-79.7483,Solar,2018,North Carolina,Randolph,
USA,ABEC Bidart-Old River LLC,2.0,35.1697,-119.1056,Biomass,2014,California,Kern,41.247
USA,AC Criminal Courts Complex SPE2  LLC,1.3,39.4375,-74.6906,Solar,2013,New Jersey,Atlantic,10.023
USA,AC Landfill Energy LLC,5.4,39.4175,-74.5422,Waste,2005,New Jersey,Atlantic,66.04899999999999
USA,ACCC Mays Landing,1.4,39.4606,-74.6809,Solar,2013,New Jersey,Atlantic,
USA,ACE-Stanton A PV,4.1,28.4845,-81.1741,Solar,2017,Florida,Orange,
USA,ACE-Stanton PV,4.8,28.4774,-81.1804,Solar,2017,Florida,Orange,
USA,ADA Carbon Solutions Red River,20.8,32.0039,-93.3911,Cogeneration,2011,Louisiana,Red River,195.11243000000002
USA,ADS Renewable Energy-Wolf Creek LLC,2.8,32.7755,-83.4348,Waste,2011,Georgia,Twiggs,
USA,AEP Bluffton NaS,2.0,40.8928,-83.8863,Storage,2009,Ohio,Allen,
USA,AEP Churubusco NaS,2.0,41.2326,-85.3149,Storage,2009,Indiana,Whitley,
USA,AEP Jacksonville Solar Project,7.1,30.5236,-81.6864,Solar,2017,Florida,Nassau,
USA,AEP Milton NaS,2.0,38.3622,-82.1256,Storage,2009,West Virginia,Cabell,
USA,AES ADA Energy Storage Array,2.0,40.1218,-75.4172,Storage,2013,Pennsylvania,Montgomery,
USA,AES Alamitos LLC,1922.0,33.7688,-118.1009,Gas,1962,California,Orange,5695.956
USA,AES Hawaii,203.0,21.3034,-158.1065,Coal,1992,Hawaii,Honolulu,7023.365008000001
USA,AES Huntington Beach LLC,436.0,33.6439,-117.9792,Gas,1958,California,Orange,3381.5549999999994
USA,AES Petersburg,2154.8,38.5281,-87.2525,Coal,1976,Indiana,Pike,49310.495106999995
USA,AES Redondo Beach LLC,1316.4,33.8504,-118.395,Gas,1964,California,Los Angeles,1871.51
USA,AES Shady Point LLC,350.0,35.1931,-94.6458,Coal,1990,Oklahoma,Le Flore,9313.740987000001
USA,AES Warrior Run Cogeneration Facility,229.0,39.5952,-78.7453,Coal,1999,West Virginia,Mineral,5874.2640249999995
USA,AES Warrior Run Energy Storage Project,11.0,39.5931,-78.7453,Storage,2016,West Virginia,Mineral,
USA,AFA Solar Farm,5.5,38.9579,-104.8066,Solar,2011,Colorado,El Paso,56.535
USA,AIS Solar Project,2.5,42.5019,-71.7378,Solar,2017,Massachusetts,Worcester,
USA,AL Sandersville LLC,692.0,33.1189,-82.8608,Gas,2002,Georgia,Washington,28.071
USA,AM Best Farm,5.0,35.4189,-77.9856,Solar,2013,North Carolina,Wayne,40.231
USA,AMEA Peaking,98.6,33.1661,-86.2825,Gas,2004,Alabama,Talladega,163.70499999999998
USA,AMP Napoleon Solar Facility,3.5,41.4067,-84.1108,Solar,2012,Ohio,Henry,25.313000000000002
USA,ANAD Solar Array,7.4,33.6267,-85.9695,Solar,2017,Alabama,Calhoun,
USA,ANP Bellingham Energy Project,578.0,42.1106,-71.4535,Gas,2002,Massachusetts,Norfolk,10949.773000000001
USA,ANP Blackstone Energy Project,578.0,42.0599,-71.5158,Gas,2001,Massachusetts,Worcester,9657.788
USA,AP North Lake I  LP,20.0,33.74,-117.0106,Solar,2015,California,Riverside,
USA,APG Combined Heat and Power Plant,7.9,39.3975,-76.2991,Gas,2017,Maryland,Harford,
USA,ASTI,1.0,38.7614,-122.9753,Solar,2009,California,Sonoma,7.6303600000000005
USA,AT&T Anaheim,1.3,33.8364,-117.9169,Gas,2016,California,Orange,
USA,AT&T Holger,1.3,37.4176,-121.9445,Gas,2016,California,Santa Clara,
USA,AV Solar Ranch One,253.0,34.7803,-118.4244,Solar,2014,California,Los Angeles,
