name,latitude,longitude,primary_fuel,state,normalized_county,Fips
A B Brown,37.9053,-87.715,Coal,Kentucky,Henderson,21101
AES Hawaii,21.3034,-158.1065,Coal,Hawaii,Honolulu,15003
AES Petersburg,38.5281,-87.2525,Coal,Indiana,Pike,18125
AES Shady Point LLC,35.1931,-94.6458,Coal,Oklahoma,Le Flore,40079
AES Warrior Run Cogeneration Facility,39.5952,-78.7453,Coal,West Virginia,Mineral,54057
Allen,35.0741,-90.1487,Coal,Arkansas,Crittenden,5035
Allen S King,45.03,-92.7786,Coal,Minnesota,Washington,27163
Amalgamated Sugar Twin Falls,42.5328,-114.4328,Coal,Idaho,Twin Falls,16083
American Crystal Sugar Crookston,47.7647,-96.6334,Coal,Minnesota,Polk,27119
American Crystal Sugar Drayton,48.5932,-97.1761,Coal,Minnesota,Kittson,27069
American Crystal Sugar East Grand Forks,47.9272,-97.0072,Coal,Minnesota,Polk,27119
American Crystal Sugar Hillsboro,47.4376,-97.0631,Coal,North Dakota,Traill,38097
American Crystal Sugar Moorhead,46.9026,-96.7611,Coal,Minnesota,Clay,27027
Antelope Valley,47.3705,-101.8357,Coal,North Dakota,Mercer,38057
Apache Station,32.0603,-109.8931,Coal,Arizona,Cochise,4003
Archer Daniels Midland Cedar Rapids,41.9221,-91.6875,Coal,Iowa,Linn,19113
Archer Daniels Midland Clinton,41.8206,-90.2097,Coal,Iowa,Clinton,19045
Archer Daniels Midland Columbus,41.4164,-97.2863,Coal,Nebraska,Platte,31141
Archer Daniels Midland Decatur,39.8701,-88.8908,Coal,Illinois,Macon,17115
Archer Daniels Midland Des Moines,41.6244,-93.5845,Coal,Iowa,Polk,19153
Archer Daniels Midland Lincoln,40.8665,-96.6145,Coal,Nebraska,Lancaster,31109
Archer Daniels Midland Mankato,44.1871,-93.9924,Coal,Minnesota,Blue Earth,27013
Argus Cogen Plant,35.765,-117.3833,Coal,California,San Bernardino,6071
Asbury,37.3613,-94.5893,Coal,Kansas,Crawford,20037
Aurora Energy LLC Chena,64.8477,-147.7351,Coal,Alaska,Fairbanks North Star,2090
Avon Lake,41.5045,-82.0546,Coal,Ohio,Lorain,39093
Bailly,41.645,-87.1225,Coal,Indiana,Porter,18127
Baldwin Energy Complex,38.205,-89.8544,Coal,Illinois,St Clair,17163
Belews Creek,36.2811,-80.0603,Coal,North Carolina,Stokes,37169
Belle River,42.7756,-82.495,Coal,Michigan,St Clair,26147
Big Bend,27.7944,-82.4036,Coal,Florida,Hillsborough,12057
Big Brown,31.8206,-96.0544,Coal,Texas,Freestone,48161
Big Cajun 2,30.7261,-91.3692,Coal,Louisiana,West Feliciana,22125
Big Stone,45.3037,-96.5101,Coal,Minnesota,Big Stone,27011
Birchwood Power,38.2667,-77.3147,Coal,Virginia,King George,51099
Biron Mill,44.43,-89.78,Coal,Wisconsin,Wood,55141
Boardman,45.6932,-119.8088,Coal,Oregon,Morrow,41049
Bonanza,40.0864,-109.2844,Coal,Utah,Uintah,49047
Bowen,34.1256,-84.9222,Coal,Georgia,Bartow,13015
Brandon Shores,39.18,-76.5389,Coal,Maryland,Anne Arundel,24003
Bridgeport Station,41.1706,-73.1844,Coal,Connecticut,Fairfield,9001
Bull Run,36.0211,-84.1567,Coal,Tennessee,Anderson,47001
Burlington (IA),40.7412,-91.1167,Coal,Iowa,Des Moines,19057
CP Crane Power  LLC,39.3236,-76.3651,Coal,Maryland,Baltimore,24005
Cambria Cogen,40.4742,-78.7014,Coal,Pennsylvania,Cambria,42021
Canton North Carolina,35.535,-82.8411,Coal,North Carolina,Haywood,37087
Cardinal,40.2522,-80.6486,Coal,Ohio,Jefferson,39081
Cayuga,39.9242,-87.4244,Coal,Indiana,Vermillion,18165
Cayuga Operating Company,42.6028,-76.6336,Coal,New York,Tompkins,36109
Chambers Cogeneration LP,39.6935,-75.4858,Coal,New Jersey,Salem,34033
