name,latitude,longitude,primary_fuel,state,normalized_county,Fips
1515 S Caron Road,41.9084,-89.0466,Gas,Illinois,Ogle,17141
491 E 48th Street,42.7553,-86.0853,Gas,Michigan,Ottawa,26139
500MW CC,40.7889,-73.9069,Gas,New York,New York,36061
59th Street,40.7713,-73.9912,Gas,New Jersey,Hudson,34017
A L Pierce,41.4482,-72.8349,Gas,Connecticut,New Haven,9009
ABC Coke,33.5828,-86.7799,Gas,Alabama,Jefferson,1073
AES Alamitos LLC,33.7688,-118.1009,Gas,California,Orange,6059
AES Huntington Beach LLC,33.6439,-117.9792,Gas,California,Orange,6059
AES Redondo Beach LLC,33.8504,-118.395,Gas,California,Los Angeles,6037
AL Sandersville LLC,33.1189,-82.8608,Gas,Georgia,Washington,13303
AMEA Peaking,33.1661,-86.2825,Gas,Alabama,Talladega,1121
ANP Bellingham Energy Project,42.1106,-71.4535,Gas,Massachusetts,Norfolk,25021
ANP Blackstone Energy Project,42.0599,-71.5158,Gas,Massachusetts,Worcester,25027
APG Combined Heat and Power Plant,39.3975,-76.2991,Gas,Maryland,Harford,24025
AT&T Anaheim,33.8364,-117.9169,Gas,California,Orange,6059
AT&T Holger,37.4176,-121.9445,Gas,California,Santa Clara,6085
Aberdeen CT,45.4299,-98.494,Gas,South Dakota,Brown,46013
Acadia Energy Center,30.4286,-92.4131,Gas,Louisiana,St Landry,22097
Ada Cogeneration LP,42.9627,-85.4941,Gas,Michigan,Kent,26081
Adkins Energy LLC,42.3622,-89.8036,Gas,Illinois,Stephenson,17177
Adobe San Jose,37.3306,-121.8931,Gas,California,Santa Clara,6085
Aera San Ardo Cogen Facility,35.9533,-120.86,Gas,California,San Luis Obispo,6079
Afton Generating Station,32.1142,-106.8465,Gas,New Mexico,Dona Ana,35013
Agnews Power Plant,37.4058,-121.9272,Gas,California,Santa Clara,6085
Agrium Kenai Nitrogen Operations,60.6732,-151.3784,Gas,Alaska,Kenai Peninsula,2122
Agua Fria,33.5561,-112.2153,Gas,Arizona,Maricopa,4013
Agua Mansa Power Plant,34.0414,-117.3603,Gas,California,Riverside,6065
Air Products Port Arthur,29.8665,-93.9651,Gas,Texas,Jefferson,48245
Akron Recycle Energy Plant,41.0733,-81.5306,Gas,Ohio,Summit,39153
Alameda,37.7886,-122.2889,Gas,California,Alameda,6001
Alamosa,37.4594,-105.8947,Gas,Colorado,Alamosa,8003
Albany Medical Ctr Cogen Plant,42.655,-73.7777,Gas,New York,Albany,36001
Alden Bailey Power Plant,46.1584,-123.406,Gas,Washington,Wahkiakum,53069
Algodones,35.3844,-106.4642,Gas,New Mexico,Sandoval,35043
Algonquin Power Sanger LLC,36.6842,-119.5522,Gas,California,Fresno,6019
Algonquin Windsor Locks,41.9227,-72.6255,Gas,Connecticut,Hartford,9003
Allegany Cogen,42.5027,-78.0686,Gas,New York,Allegany,36003
Allegheny Energy Units 3 4 & 5,40.5453,-79.7686,Gas,Pennsylvania,Westmoreland,42129
Alliance Refinery,29.6833,-89.975,Gas,Louisiana,Jefferson,22051
Alliant Energy Neenah,44.1936,-88.5064,Gas,Wisconsin,Winnebago,55139
Alliant SBG 9802 Toyota,42.0277,-91.7111,Gas,Iowa,Linn,19113
Almond Power Plant,37.5744,-120.985,Gas,California,Stanislaus,6099
Alpaca,41.6631,-76.8056,Gas,Pennsylvania,Bradford,42015
Alpine Power Plant,45.0637,-84.8253,Gas,Michigan,Otsego,26137
Alsey,39.5698,-90.436,Gas,Illinois,Scott,17171
AltaGas Pomona Energy Inc.,34.0594,-117.7742,Gas,California,Los Angeles,6037
AltaGas Ripon Energy Inc.,37.7325,-121.116,Gas,California,San Joaquin,6077
Amalgamated Sugar LLC Nampa,43.6058,-116.5753,Gas,Idaho,Canyon,16027
Amazon San Bernardino,34.0884,-117.2458,Gas,California,San Bernardino,6071
American Gypsum Cogeneration,39.6486,-106.9494,Gas,Colorado,Eagle,8037
Ames Electric Services Power Plant,42.0258,-93.6089,Gas,Iowa,Story,19169
Amherst College Co Gen,42.3717,-72.5122,Gas,Massachusetts,Hampshire,25015
Anadarko Plant,35.0847,-98.23,Gas,Oklahoma,Caddo,40015
Anaheim GT,33.8535,-117.8563,Gas,California,Orange,6059
Anchorage 1,61.2221,-149.8661,Gas,Alaska,Anchorage,2020
Anclote,28.1844,-82.7886,Gas,Florida,Pasco,12101
Anderson,40.0529,-85.7389,Gas,Indiana,Madison,18095
Androscoggin Energy Center,44.5063,-70.2423,Gas,Maine,Franklin,23007
Angus Anson,43.6035,-96.6356,Gas,South Dakota,Minnehaha,46099
Anheuser-Busch Jacksonville,30.4342,-81.6454,Gas,Florida,Duval,12031
Anheuser-Busch St Louis,38.5978,-90.2107,Gas,Missouri,St Louis,29189
Animas,36.7251,-108.192,Gas,New Mexico,San Juan,35045
Ansley,41.2892,-99.3863,Gas,Nebraska,Custer,31041
Anson County Generation Facility,34.9687,-79.9217,Gas,North Carolina,Richmond,37153
Antelope Station,33.865,-101.8433,Gas,Texas,Lubbock,48303
Anthony,37.1517,-98.0311,Gas,Kansas,Harper,20077
Apex Generating Station,36.416,-114.9609,Gas,Nevada,Clark,32003
Arapahoe Combustion Turbine Project,39.6692,-105.0018,Gas,Colorado,Arapahoe,8005
ArcelorMittal Burns Harbor,41.635,-87.1387,Gas,Indiana,Porter,18127
ArcelorMittal Indiana Harbor West,41.6638,-87.4523,Gas,Indiana,Lake,18089
ArcelorMittal Warren,41.2119,-80.8176,Gas,Ohio,Trumbull,39155
Arcelormittal Cleveland Inc,41.4739,-81.6728,Gas,Ohio,Cuyahoga,39035
