name,latitude,longitude,primary_fuel,state,normalized_county,Fips
45 Mile Hydroelectric Project,44.5281,-121.1528,Hydro,Oregon,Jefferson,41031
99 Islands,35.0314,-81.4936,Hydro,South Carolina,Cherokee,45021
A G Wishon,37.151,-119.5047,Hydro,California,Fresno,6019
Abbott TP 3,29.594,-98.0407,Hydro,Texas,Guadalupe,48187
Abiquiu Dam,36.2399,-106.423,Hydro,New Mexico,Rio Arriba,35039
Ada Dam,42.9506,-85.4859,Hydro,Michigan,Kent,26081
Alamo,34.8158,-118.6867,Hydro,California,Kern,6029
Albeni Falls,48.1802,-116.9986,Hydro,Washington,Pend Oreille,53051
Alcona,44.562,-83.8045,Hydro,Michigan,Iosco,26069
Alcova,42.5484,-106.7175,Hydro,Wyoming,Natrona,56025
Alder,46.8016,-122.3102,Hydro,Washington,Pierce,53053
Alexander,45.1875,-89.7553,Hydro,Wisconsin,Lincoln,55069
Alice Falls Hydro Project,44.5192,-73.4648,Hydro,New York,Essex,36031
Allatoona,34.1637,-84.7282,Hydro,Georgia,Bartow,13015
Allegan Dam,42.5638,-85.954,Hydro,Michigan,Allegan,26005
Allegheny Hydro No 8,40.8966,-79.479,Hydro,Pennsylvania,Armstrong,42005
Allegheny Hydro No 9,40.956,-79.5507,Hydro,Pennsylvania,Armstrong,42005
Allegheny No 6 Hydro Station,40.7164,-79.5772,Hydro,Pennsylvania,Armstrong,42005
Allegheny No. 5 Hydro Station,40.6829,-79.6653,Hydro,Pennsylvania,Armstrong,42005
Allison Creek Hydro,61.0844,-146.3533,Hydro,Alaska,Valdez-Cordova,2261
Alta Powerhouse,39.216,-120.8036,Hydro,California,Placer,6061
American Falls,42.7778,-112.8764,Hydro,Idaho,Power,16077
Ames Hydro,37.866,-107.8831,Hydro,Colorado,San Miguel,8113
Amistad Dam & Power,29.4498,-101.0601,Hydro,Texas,Val Verde,48465
Amoskeag,43.0022,-71.4721,Hydro,New Hampshire,Hillsborough,33011
Anderson Ranch,43.3571,-115.4515,Hydro,Idaho,Elmore,16039
Androscoggin 3,44.1353,-70.2015,Hydro,Maine,Androscoggin,23001
Angels,38.0719,-120.5394,Hydro,California,Calaveras,6009
Annex Creek,58.3176,-134.101,Hydro,Alaska,Juneau,2110
Anson Abenaki Hydros,44.7975,-69.8867,Hydro,Maine,Somerset,23025
Apalachia,35.1677,-84.2956,Hydro,Georgia,Fannin,13111
Apple River,45.1576,-92.7162,Hydro,Wisconsin,St Croix,55109
Appleton,44.2539,-88.4096,Hydro,Wisconsin,Outagamie,55087
Arlington Outlet Hydroelectric Generator,32.6391,-97.2429,Hydro,Texas,Tarrant,48439
Arpin Dam,45.7517,-91.2028,Hydro,Wisconsin,Sawyer,55113
Arrowrock Hydroelectric Project,43.595,-115.9233,Hydro,Idaho,Boise,16015
Ashokan,41.949,-74.2063,Hydro,New York,Ulster,36111
Ashton,44.0786,-111.4973,Hydro,Idaho,Fremont,16043
Auglaize Hydro,41.2372,-84.3998,Hydro,Ohio,Defiance,39039
Austin,30.2934,-97.7844,Hydro,Texas,Travis,48453
Avalon Hydropower,36.4237,-79.9525,Hydro,North Carolina,Rockingham,37157
Ayers Island,43.5978,-71.7177,Hydro,New Hampshire,Grafton,33009
Aziscohos Hydroelectric Project,44.9439,-70.9975,Hydro,New Hampshire,Coos,33007
Azusa,34.1548,-117.9093,Hydro,California,Los Angeles,6037
Bad Creek,35.0075,-82.9975,Hydro,South Carolina,Oconee,45073
Baker Creek Hydroelectric,40.5264,-123.7256,Hydro,California,Humboldt,6023
Balch 1,36.9091,-119.0877,Hydro,California,Fresno,6019
Balch 2,36.9089,-119.0876,Hydro,California,Fresno,6019
Ball Mountain Hydro,43.1269,-72.7761,Hydro,Vermont,Windham,50025
Bankhead Dam,33.4587,-87.3568,Hydro,Alabama,Tuscaloosa,1125
Bar Mills,43.6136,-70.5525,Hydro,Maine,York,23031
Barber Dam,43.56100000000001,-116.1213,Hydro,Idaho,Ada,16001
Barker Lower,44.0867,-70.2297,Hydro,Maine,Androscoggin,23001
Barkley,37.0217,-88.2211,Hydro,Kentucky,Marshall,21157
Bartholomew,40.1671,-111.4995,Hydro,Utah,Utah,49049
Bartletts Ferry,32.662,-85.0916,Hydro,Alabama,Lee,1081
Basalt,39.3631,-106.8219,Hydro,Colorado,Pitkin,8097
Bath County,38.2089,-79.8,Hydro,Virginia,Bath,51017
Bear Creek,40.5345,-121.9591,Hydro,California,Shasta,6089
Bear Creek Dam,35.2427,-83.072,Hydro,North Carolina,Jackson,37099
Bear Swamp,42.6839,-72.9599,Hydro,Massachusetts,Franklin,25011
Bear Valley,33.1662,-117.0166,Hydro,California,San Diego,6073
