name,latitude,longitude,primary_fuel,state,normalized_county,Fips
191 Peachtree Tower,33.7583,-84.3869,Oil,Georgia,Fulton,13121
74th Street,40.768,-73.9515,Oil,New York,New York,36061
Adrian,43.6371,-95.9328,Oil,Minnesota,Nobles,27105
Airport Industrial,38.2844,-104.5308,Oil,Colorado,Pueblo,8101
Albany,40.245,-94.339,Oil,Missouri,Gentry,29075
Albemarle Hospital Unit,35.3636,-80.1939,Oil,North Carolina,Stanly,37167
Albemarle Prime Power Park,35.4072,-80.1518,Oil,North Carolina,Stanly,37167
Albertville,34.3634,-86.2239,Oil,Alabama,Marshall,1095
Alexandria,45.8892,-95.3797,Oil,Minnesota,Douglas,27041
Algona,43.0733,-94.2392,Oil,Iowa,Kossuth,19109
Alliant SBD 8501 Aegon LI,42.0243,-91.704,Oil,Iowa,Linn,19113
Alliant SBD 8601 Quad Graphics,41.7958,-92.0592,Oil,Iowa,Iowa,19095
Alliant SBD 8602 Marion Sub,42.0289,-91.5975,Oil,Iowa,Linn,19113
Alliant SBD 9106 Rockwell CR,42.0356,-91.6458,Oil,Iowa,Linn,19113
Alliant SBD 9107 JBS USA,42.056,-92.8971,Oil,Iowa,Marshall,19127
Alliant SBD 9201 Norplex,43.0906,-91.5542,Oil,Iowa,Allamakee,19005
Alliant SBD 9203 Profol,41.935,-91.6361,Oil,Iowa,Linn,19113
Alliant SBD 9205 A Y McDonald,42.4906,-90.745,Oil,Iowa,Dubuque,19061
Alliant SBD 9206 Donaldson,43.3744,-92.1331,Oil,Iowa,Howard,19089
Alliant SBD 9301 Prairie Farms,42.53,-90.6847,Oil,Iowa,Dubuque,19061
Alliant SBD 9302 Aegon NP,42.0264,-91.7042,Oil,Iowa,Linn,19113
Alliant SBD 9403 Aegon DC,41.9167,-91.6542,Oil,Iowa,Linn,19113
Alliant SBD 9502 Eaton,42.8381,-93.6033,Oil,Iowa,Wright,19197
Alliant SBD 9901 Wells Fargo,41.9244,-91.6385,Oil,Iowa,Linn,19113
Alliant SBD0201 Ingredion,41.9701,-91.6662,Oil,Iowa,Linn,19113
Alta Municipal Utilities,42.6736,-95.3026,Oil,Iowa,Buena Vista,19021
Altamont,39.0687,-88.7555,Oil,Illinois,Effingham,17049
Amana Society Service Company,41.7932,-91.8918,Oil,Iowa,Benton,19011
Ambler,67.08800000000001,-157.8567,Oil,Alaska,North Slope,2185
Ames GT,42.0272,-93.5828,Oil,Iowa,Story,19169
Anadarko,39.757,-81.1155,Oil,Ohio,Monroe,39111
Anderson Erickson,41.6014,-93.5765,Oil,Iowa,Polk,19153
Anderson Power Products Division,42.4714,-71.7433,Oil,Massachusetts,Worcester,25027
Angoon,57.4992,-134.5861,Oil,Alaska,Juneau,2110
Aniak,61.5807,-159.5356,Oil,Alaska,Bethel,2050
Anita,41.4442,-94.7665,Oil,Iowa,Cass,19029
Arcadia Electric,44.2524,-91.5034,Oil,Wisconsin,Trempealeau,55121
Arcanum,39.9861,-84.5503,Oil,Ohio,Darke,39037
