name,latitude,longitude,primary_fuel,state,normalized_county,Fips
12 Applegate Solar LLC,40.2003,-74.5761,Solar,New Jersey,Monmouth,34025
126 Grove Solar LLC,42.0761,-71.4227,Solar,Massachusetts,Norfolk,25021
1420 Coil Av #C,33.7943,-118.2414,Solar,California,Los Angeles,6037
145 Talmadge Solar,40.5358,-74.3913,Solar,New Jersey,Middlesex,34023
158th Fighter Wing Solar Farm,44.4777,-73.1534,Solar,Vermont,Chittenden,50007
180 Raritan Solar,40.5161,-74.34,Solar,New Jersey,Middlesex,34023
201 Sturbridge B,42.1091,-72.1712,Solar,Massachusetts,Hampden,25013
205 Sturbridge A,42.1093,-72.1705,Solar,Massachusetts,Hampden,25013
2081 Terzian Solar Project,36.67,-119.4158,Solar,California,Fresno,6019
2097 Helton Solar Project,37.3522,-120.5069,Solar,California,Merced,6047
2127 Harris Solar Project,39.2917,-121.6697,Solar,California,Sutter,6101
231 Dixon 74 Solar I  LLC,35.2441,-81.4304,Solar,North Carolina,Cleveland,37045
24 Applegate Solar LLC,40.2058,-74.5797,Solar,New Jersey,Monmouth,34025
2555 E Olympic Bl,34.0269,-118.2242,Solar,California,Los Angeles,6037
265 Pleasant Solar NG  LLC,42.5814,-71.7622,Solar,Massachusetts,Worcester,25027
301 Chestnut Solar NG,42.0552,-72.5218,Solar,Massachusetts,Hampden,25013
350 Clark Solar  NG  LLC,40.8942,-74.7302,Solar,New Jersey,Sussex,34037
4 Applegate Solar LLC,40.1964,-74.5836,Solar,New Jersey,Monmouth,34025
433 Purchase Solar NG  LLC,41.8094,-71.1922,Solar,Massachusetts,Bristol,25005
4Oaks,35.4325,-78.4117,Solar,North Carolina,Johnston,37101
500 Virginia Solar,40.1392,-75.1917,Solar,Pennsylvania,Montgomery,42091
510 REPP One,36.4972,-77.6058,Solar,North Carolina,Northampton,37131
651 Chase Solar NG,42.6267,-71.7428,Solar,Massachusetts,Worcester,25027
ABD Farms,35.7287,-79.7483,Solar,North Carolina,Randolph,37151
AC Criminal Courts Complex SPE2  LLC,39.4375,-74.6906,Solar,New Jersey,Atlantic,34001
ACCC Mays Landing,39.4606,-74.6809,Solar,New Jersey,Atlantic,34001
ACE-Stanton A PV,28.4845,-81.1741,Solar,Florida,Orange,12095
