name,latitude,longitude,primary_fuel,state,normalized_county,Fips
AC Landfill Energy LLC,39.4175,-74.5422,Waste,New Jersey,Atlantic,34001
ADS Renewable Energy-Wolf Creek LLC,32.7755,-83.4348,Waste,Georgia,Twiggs,13289
Adrian Energy Associates LLC,41.89100000000001,-83.9929,Waste,Michigan,Lenawee,26091
Agrilectric Power Partners Ltd,30.2012,-93.1269,Waste,Louisiana,Calcasieu,22019
Al Turi,41.4043,-74.3767,Waste,New York,Orange,36071
Albany Green Energy,31.5559,-84.1103,Waste,Georgia,Dougherty,13095
Allendale Biomass,32.995,-81.2819,Waste,South Carolina,Allendale,45005
Allenwood,41.1511,-76.9178,Waste,Pennsylvania,Lycoming,42081
Alpha Ridge LFG,39.305,-76.9019,Waste,Maryland,Howard,24027
Altamont Gas Recovery,37.7493,-121.6499,Waste,California,San Joaquin,6077
Altavista Power Station,37.1187,-79.2736,Waste,Virginia,Campbell,51031
Amelia,37.3097,-78.0589,Waste,Virginia,Amelia,51007
Ameresco Butte County,39.674,-121.73,Waste,California,Butte,6007
Ameresco Chicopee Energy,42.1626,-72.5367,Waste,Massachusetts,Hampden,25013
Ameresco Chiquita Canyon,34.4317,-118.6429,Waste,California,Los Angeles,6037
Ameresco Dallas LLC,32.6486,-96.6444,Waste,Texas,Dallas,48113
Ameresco Delaware Central,39.0339,-75.7233,Waste,Maryland,Caroline,24011
Ameresco Delaware South,38.5992,-75.4342,Waste,Delaware,Sussex,10005
Ameresco Forward,37.8834,-121.1851,Waste,California,San Joaquin,6077
Ameresco Janesville,42.7083,-89.0208,Waste,Wisconsin,Rock,55105
Ameresco Jefferson City,38.5524,-92.0449,Waste,Missouri,Callaway,29027
Ameresco Johnson Canyon,36.5342,-121.4086,Waste,California,Monterey,6053
Ameresco Keller Canyon,38.0039,-121.9345,Waste,California,Contra Costa,6013
Ameresco Ox Mountain,37.5,-122.4,Waste,California,San Mateo,6081
Ameresco San Joaquin,38.0297,-120.9297,Waste,California,Calaveras,6009
Ameresco Santa Cruz Energy,36.9178,-121.8156,Waste,California,Santa Cruz,6087
Ameresco Stafford,38.3842,-77.4131,Waste,Virginia,Stafford,51179
Ameresco Vasco Road,37.7544,-121.7289,Waste,California,Alameda,6001
Ampersand Chowchilla Biomass LLC,37.1067,-120.2485,Waste,California,Madera,6039
Anderson Regional Landfill,34.5739,-82.4621,Waste,South Carolina,Anderson,45007
Apple Campus 2 Fuel Cell,37.33,-122.01,Waste,California,Santa Clara,6085
Apple Data Center - Fuel Cell 1&2,35.5883,-81.2667,Waste,North Carolina,Catawba,37035
Atascosita,29.9522,-95.2422,Waste,Texas,Harris,48201
Athens Energy,44.9455,-69.6607,Waste,Maine,Somerset,23025
Auburn LFG Energy Facility,42.9441,-76.5939,Waste,New York,Cayuga,36011
Austin Gas Recovery,30.3344,-97.6217,Waste,Texas,Travis,48453
BC Landfill Energy LLC,40.0742,-74.6656,Waste,New Jersey,Burlington,34005
BJ Gas Recovery,33.93,-84.2378,Waste,Georgia,Gwinnett,13135
BMW Manufacturing Co,34.8942,-82.1783,Waste,South Carolina,Spartanburg,45083
Bannock County LFG to Energy,42.7878,-112.3656,Waste,Idaho,Bannock,16005
Bavarian LFGTE,38.8608,-84.6556,Waste,Kentucky,Boone,21015
Bay County Waste to Energy,30.2661,-85.5207,Waste,Florida,Bay,12005
Bay Front,46.5872,-90.9017,Waste,Wisconsin,Ashland,55003
Bay View Cogeneration Facility,41.6883,-83.4847,Waste,Ohio,Lucas,39095
Beecher Gas Recovery,41.3811,-87.6375,Waste,Illinois,Will,17197
Bellefontaine Gas Producers LLC,40.4108,-83.7179,Waste,Ohio,Logan,39091
Benson Power Biomass Plant,45.3224,-95.6295,Waste,Minnesota,Swift,27151
Berkeley County Landfill,33.1211,-80.0294,Waste,South Carolina,Berkeley,45015
Berlin Landfill Gas,43.9603,-88.9158,Waste,Wisconsin,Green,55045
Bethlehem Renewable Energy LLC,40.6216,-75.3102,Waste,Pennsylvania,Northampton,42095
Bi-County Gas Producers,36.5406,-87.5444,Waste,Kentucky,Christian,21047
Big Valley Power LLC,41.1325,-121.1372,Waste,California,Shasta,6089
Biomass One LP,42.4361,-122.85,Waste,Oregon,Jackson,41029
Biomass to Energy Facility  Kauai,21.9653,-159.4606,Waste,Hawaii,Kauai,15007
Black Oak Power Producers,37.2319,-92.4539,Waste,Missouri,Wright,29229
Blackburn Landfill Co-Generation,35.6067,-81.3006,Waste,North Carolina,Catawba,37035
Blue Lake Power LLC,40.8786,-123.9942,Waste,California,Humboldt,6023
Blue Ridge Generating,37.7411,-83.9889,Waste,Kentucky,Estill,21065
Blue Ridge Landfill,39.9619,-77.5611,Waste,Pennsylvania,Franklin,42055
Blue Water Renewables Inc,42.9158,-82.5945,Waste,Michigan,St Clair,26147
Bowerman Power LFG  LLC,33.7189,-117.7022,Waste,California,Orange,6059
Brea Expansion Plant,33.931999999999995,-117.8402,Waste,California,Orange,6059
Brent Run Generating Station,43.1764,-83.848,Waste,Michigan,Genesee,26049
Brevard,28.3926,-80.8287,Waste,Florida,Brevard,12009
Bridgewater Power LP,43.7155,-71.6585,Waste,New Hampshire,Grafton,33009
Bristol Plant,36.6019,-82.1431,Waste,Tennessee,Sullivan,47163
Broad Mountain,40.6696,-76.3807,Waste,Pennsylvania,Schuylkill,42107
Brown County LFGTE Power Station,38.895,-83.90299999999998,Waste,Ohio,Brown,39015
Brunswick Landfill Gas,36.7639,-77.8108,Waste,Virginia,Brunswick,51025
Buena Vista Biomass Power,38.2778,-120.9136,Waste,California,Amador,6005
Burgess BioPower,44.4719,-71.1753,Waste,New Hampshire,Coos,33007
Burney Forest Products,40.8797,-121.7203,Waste,California,Shasta,6089
CC Landfill Energy  LLC,36.3587,-114.8748,Waste,Nevada,Clark,32003
CID Gas Recovery,41.6588,-87.5777,Waste,Illinois,Cook,17031
CII Methane Management III LFG Plant,33.9256,-83.2639,Waste,Georgia,Clarke,13059
CII Methane Management IV  LLC,35.5119,-78.4338,Waste,North Carolina,Johnston,37101
