name,latitude,longitude,primary_fuel,state,normalized_county,Fips
85 A,35.1011,-118.3372,Wind,California,Kern,6029
85 B,35.1011,-118.3372,Wind,California,Kern,6029
Adair Wind Farm,41.4236,-94.665,Wind,Iowa,Adair,19001
Adams Wind,40.92,-94.6717,Wind,Iowa,Adams,19003
Adams Wind Farm,43.5548,-92.7241,Wind,Minnesota,Mower,27099
Adams Wind Generations LLC,44.9169,-94.7356,Wind,Minnesota,Renville,27129
Aeolus Wind Facility,36.4725,-101.3278,Wind,Texas,Hansford,48195
Agassiz Beach LLC,47.0053,-96.4356,Wind,Minnesota,Clay,27027
Agriwind,41.3017,-89.6236,Wind,Illinois,Bureau,17011
Ainsworth Wind,42.4489,-99.8917,Wind,Nebraska,Brown,31017
Alexander Wind Farm LLC,38.4247,-99.5075,Wind,Kansas,Rush,20165
Allegheny Ridge Wind Farm,40.3839,-78.5794,Wind,Pennsylvania,Cambria,42021
Allendorf,43.4,-95.6333,Wind,Iowa,Osceola,19143
Alta Wind Energy Center I,35.0337,-118.3534,Wind,California,Kern,6029
Alta Wind Energy Center II,35.0239,-118.2953,Wind,California,Kern,6029
Alta Wind Energy Center III,35.0239,-118.2953,Wind,California,Kern,6029
Alta Wind Energy Center IV,35.0086,-118.2422,Wind,California,Kern,6029
Alta Wind Energy Center V,35.0086,-118.2422,Wind,California,Kern,6029
Alta Wind VIII,35.0267,-118.2348,Wind,California,Kern,6029
Alta Wind X,35.06,-118.2,Wind,California,Kern,6029
Alta Wind XI,35.065,-118.39,Wind,California,Kern,6029
Altech III,33.915,-116.5551,Wind,California,Riverside,6065
Anacacho Wind Farm  LLC,29.2347,-100.2092,Wind,Texas,Kinney,48271
Anchor Wind  LLC,41.8508,-91.2342,Wind,Iowa,Cedar,19031
Anderson Wind I,33.0294,-103.8558,Wind,New Mexico,Chaves,35005
Anderson Wind II,33.0139,-103.865,Wind,New Mexico,Chaves,35005
Anheuser-Busch #2,38.2336,-122.0925,Wind,California,Solano,6095
Apple Blossom Wind Farm,43.815,-83.315,Wind,Michigan,Huron,26063
Aragonne Wind LLC,34.8147,-105.0108,Wind,New Mexico,Guadalupe,35019
Arbuckle Mountain Wind Farm LLC,34.3869,-97.1369,Wind,Oklahoma,Murray,40099
Arlington Wind Power Project,45.7167,-120.2008,Wind,Oregon,Gilliam,41021
Armenia Mountain Wind Farm,41.7619,-76.8553,Wind,Pennsylvania,Bradford,42015
Ashtabula Wind Energy Center,47.1244,-97.8961,Wind,North Dakota,Barnes,38003
Ashtabula Wind II LLC,47.2924,-97.9317,Wind,North Dakota,Steele,38091
Ashtabula Wind III LLC,47.1242,-97.8956,Wind,North Dakota,Barnes,38003
Astra Wind Farm,34.7695,-102.0524,Wind,Texas,Randall,48381
August Wind Farm,40.7649,-94.4756,Wind,Iowa,Taylor,19173
Autumn Hills LLC,44.4131,-96.4325,Wind,Minnesota,Lincoln,27081
Auwahi Wind Energy,20.596,-156.31799999999996,Wind,Hawaii,Maui,15009
B&K Energy Systems LLC,43.6514,-95.3755,Wind,Iowa,Dickinson,19059
BC Energy LLC,43.6183,-95.4253,Wind,Minnesota,Nobles,27105
Baffin Wind,27.2231,-97.7892,Wind,Texas,Kenedy,48261
Baldwin Wind LLC,47.1133,-100.7086,Wind,North Dakota,Burleigh,38015
Balko Wind LLC,36.5181,-100.8472,Wind,Texas,Ochiltree,48357
Barton Chapel Wind Farm,33.068000000000005,-98.3377,Wind,Texas,Jack,48237
Barton Windpower LLC,43.393,-93.091,Wind,Iowa,Worth,19195
Bay Windpower I,45.7644,-84.7381,Wind,Michigan,Mackinac,26097
BayWa r.e Mozart LLC,32.9697,-100.5242,Wind,Texas,Fisher,48151
Bayonne MUA- Leitner-Poma Wind Turbine,40.6528,-74.1178,Wind,New Jersey,Hudson,34017
Beaver Creek Wind,42.107,-94.1646,Wind,Iowa,Boone,19015
Beaver Ridge Wind,44.4967,-69.35,Wind,Maine,Kennebec,23011
Beebe 1B,43.2569,-84.4997,Wind,Michigan,Gratiot,26057
Beebe Renewable Energy LLC,43.2569,-84.4997,Wind,Michigan,Gratiot,26057
Beech Ridge Energy LLC,38.0878,-80.4925,Wind,West Virginia,Nicholas,54067
Beethoven Wind,43.16,-98.08,Wind,South Dakota,Charles Mix,46023
Bennett Creek Windfarm LLC - Mountain Home,43.0536,-115.4803,Wind,Idaho,Elmore,16039
Benson Creek Windfarm (Burnt River),44.3669,-117.3439,Wind,Idaho,Washington,16087
Bent Tree Wind Farm Phase 1,43.7246,-93.4504,Wind,Minnesota,Freeborn,27047
Benton County Wind Farm,40.695,-87.4886,Wind,Indiana,Newton,18111
Berkshire Wind Power Project,42.5867,-73.275,Wind,Massachusetts,Berkshire,25003
Bethel Wind Farm LLC,34.5753,-102.4747,Wind,Texas,Castro,48069
Big Blue,43.6122,-94.1919,Wind,Minnesota,Faribault,27043
Big Horn Wind II,45.9192,-120.3039,Wind,Washington,Yakima,53077
Big Horn Wind Project,45.8877,-120.2896,Wind,Washington,Yakima,53077
Big Sky Wind LLC,41.5992,-89.4561,Wind,Illinois,Bureau,17011
Big Spring Wind Power Facility,32.2075,-101.3883,Wind,Texas,Howard,48227
Big Top LLC,45.655,-119.4647,Wind,Oregon,Morrow,41049
Big Turtle Wind Farm  LLC,43.8508,-82.7825,Wind,Michigan,Huron,26063
Biglow Canyon Wind Farm,45.6537,-120.6034,Wind,Oregon,Sherman,41055
Bingham Wind,45.1033,-69.7619,Wind,Maine,Somerset,23025
Bishop Hill Energy LLC,41.2153,-90.1208,Wind,Illinois,Henry,17073
Bishop Hill II Wind Farm,41.2325,-90.1742,Wind,Illinois,Henry,17073
Bison 2 Wind Energy Center,46.98,-101.5547,Wind,North Dakota,Oliver,38065
Bison 3 Wind Energy Center,46.98,-101.5547,Wind,North Dakota,Oliver,38065
Bison 4 Wind Energy Center,46.98,-101.5547,Wind,North Dakota,Oliver,38065
Bison I Wind Energy Center,46.98,-101.5547,Wind,North Dakota,Oliver,38065
Bisson Windfarm LLC,43.9844,-96.2194,Wind,Minnesota,Pipestone,27117
Black Oak Wind Farm,45.6608,-95.0128,Wind,Minnesota,Stearns,27145
Blackstone Wind Farm II LLC,41.1406,-88.53,Wind,Illinois,Livingston,17105
Block Island Wind Farm,41.1147,-71.5211,Wind,Rhode Island,Washington,44009
Blue Breezes II LLC,43.6558,-94.1564,Wind,Minnesota,Faribault,27043
Blue Breezes LLC,43.6558,-94.1536,Wind,Minnesota,Faribault,27043
Blue Canyon Windpower,34.8508,-98.5773,Wind,Oklahoma,Caddo,40015
Blue Canyon Windpower II,34.8661,-98.6056,Wind,Oklahoma,Caddo,40015
Blue Canyon Windpower V LLC,34.8217,-98.4525,Wind,Oklahoma,Caddo,40015
Blue Canyon Windpower VI LLC,34.9104,-98.5599,Wind,Oklahoma,Caddo,40015
Blue Creek Wind Project,40.9315,-84.5618,Wind,Ohio,Van Wert,39161
Blue Sky Green Field Wind Project,43.8794,-88.2708,Wind,Wisconsin,Fond du Lac,55039
Blue Summit Wind LLC,34.29,-99.3647,Wind,Texas,Wilbarger,48487
Bluegrass Ridge,40.1006,-94.4869,Wind,Missouri,Gentry,29075
Bluestem,36.5522,-100.5876,Wind,Texas,Lipscomb,48295
Bluff Point Wind Facility,40.319,-84.9769,Wind,Indiana,Jay,18075
Bobcat Bluff Wind Project LLC,33.4931,-98.5819,Wind,Texas,Archer,48009
Boeve Windfarm LLC,44.05,-96.0933,Wind,Minnesota,Pipestone,27117
Border Winds Wind Farm,48.9647,-99.6139,Wind,North Dakota,Rolette,38079
Bowling Green Wind,41.3786,-83.7383,Wind,Ohio,Wood,39173
Brady II Wind Energy Center,46.6115,-102.7882,Wind,North Dakota,Stark,38089
Brady Wind Energy Center,46.6465,-102.7651,Wind,North Dakota,Stark,38089
Brazos Wind Farm,32.9479,-101.1478,Wind,Texas,Scurry,48415
Breckinridge Wind Project LLC,36.4769,-97.6856,Wind,Oklahoma,Garfield,40047
Breezy Bucks I LLC,44.3197,-96.3317,Wind,Minnesota,Lincoln,27081
Breezy Bucks II LLC,44.3144,-96.3317,Wind,Minnesota,Lincoln,27081
Briscoe Wind Farm,34.4323,-101.2372,Wind,Texas,Briscoe,48045
Broadview Energy JN  LLC,34.7342,-103.108,Wind,Texas,Parmer,48369
Broadview Energy KW  LLC,34.727,-103.1668,Wind,New Mexico,Curry,35009
Broadview Energy Prime 2 LLC,34.7281,-103.305,Wind,New Mexico,Curry,35009
Broadview Energy Prime LLC,34.7469,-103.325,Wind,New Mexico,Curry,35009
Broken Bow Wind II  LLC,41.3239,-99.3231,Wind,Nebraska,Custer,31041
Broken Bow Wind LLC,41.4547,-99.5681,Wind,Nebraska,Custer,31041
Brookfield,43.7578,-83.2978,Wind,Michigan,Huron,26063
Brookfield Tehachapi 1,35.0083,-118.2414,Wind,California,Kern,6029
Brown County Wind Turbine,39.9733,-90.6992,Wind,Illinois,Brown,17009
Bruennings Breeze Wind Farm,26.5222,-97.6911,Wind,Texas,Willacy,48489
Buckeye Wind Energy Center,39.0039,-99.4142,Wind,Kansas,Ellis,20051
Buckthorn Wind Project,32.3713,-98.3774,Wind,Texas,Erath,48143
Buena Vista Energy LLC,37.805,-121.6672,Wind,California,Contra Costa,6013
Buffalo Bear LLC,36.7767,-99.6353,Wind,Oklahoma,Harper,40059
Buffalo Center Wind LLC,43.3858,-92.7594,Wind,Iowa,Mitchell,19131
Buffalo Dunes Wind Project,37.6208,-101.0761,Wind,Kansas,Haskell,20081
Buffalo Gap 2 Wind Farm,32.3182,-100.177,Wind,Texas,Taylor,48441
Buffalo Gap 3 Wind Farm,32.2878,-100.1,Wind,Texas,Taylor,48441
Buffalo Gap Wind Farm,32.3116,-100.0616,Wind,Texas,Taylor,48441
Buffalo Mountain,36.121,-84.3387,Wind,Tennessee,Roane,47145
Buffalo Mountain Energy Center,36.1271,-84.3442,Wind,Tennessee,Roane,47145
Buffalo Ridge I LLC,44.4328,-96.4779,Wind,Minnesota,Lincoln,27081
Buffalo Ridge II LLC,44.5281,-96.6267,Wind,South Dakota,Deuel,46039
Bull Creek Wind,32.929,-101.5786,Wind,Texas,Borden,48033
Bull Hill Wind Project,44.7231,-68.2425,Wind,Maine,Hancock,23009
Bulldog,41.2258,-94.4406,Wind,Iowa,Adair,19001
Burley Butte Windpark,42.4903,-113.9266,Wind,Idaho,Cassia,16031
Busch Ranch Wind Energy Farm,37.8011,-104.4919,Wind,Colorado,Huerfano,8055
Butler Ridge,43.4003,-88.4811,Wind,Wisconsin,Dodge,55027
