State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
Florida,12125,1135.0,1063.6,1210.1,208,falling,-4.6,-5.1,-4.1,Union,FL,0.01135
Nebraska,31113,677.2,455.0,974.3,7,stable,1.2,-41.0,73.4,Logan,NE,0.006772
Kentucky,21197,646.2,586.6,710.3,92,stable,1.1,-0.4,2.6,Powell,KY,0.006462000000000001
Kentucky,21217,623.3,583.7,665.0,196,rising,1.4,0.7,2.2,Taylor,KY,0.006233
Kentucky,21201,611.6,486.8,761.3,19,stable,2.2,-1.0,5.6,Robertson,KY,0.006116
Kentucky,21181,603.0,532.0,681.5,55,stable,1.4,-0.5,3.3,Nicholas,KY,0.00603
Nebraska,31009,598.0,350.7,970.8,4,stable,7.8,-16.9,39.9,Blaine,NE,0.00598
South Dakota,46077,597.8,516.0,690.1,45,stable,0.6,-17.5,22.6,Kingsbury,SD,0.005978
Kentucky,21065,597.4,547.0,651.6,110,stable,-7.8,-19.5,5.6,Estill,KY,0.005974
Kentucky,21041,596.8,535.9,662.9,74,stable,0.0,-1.2,1.1,Carroll,KY,0.005967999999999999
Montana,30037,596.4,413.3,848.3,8,stable,-7.1,-32.6,28.1,Golden Valley,MT,0.005964
Nebraska,31171,594.4,378.6,896.6,6,stable,-14.3,-28.2,2.3,Thomas,NE,0.005944
Nebraska,31163,593.5,482.4,724.2,26,stable,10.5,-8.7,33.6,Sherman,NE,0.005935
Iowa,19147,593.2,530.2,661.9,75,stable,11.4,-1.1,25.5,Palo Alto,IA,0.005932000000000001
Arkansas,05147,592.7,522.0,671.0,57,stable,5.3,-12.2,26.4,Woodruff,AR,0.005927000000000001
Louisiana,22025,592.1,531.9,657.6,74,stable,-6.6,-14.4,2.0,Catahoula,LA,0.005921
Kentucky,21193,590.7,553.4,629.8,199,stable,0.6,-0.3,1.5,Perry,KY,0.005907000000000001
Kentucky,21071,589.8,558.2,622.8,279,stable,-0.3,-0.8,0.2,Floyd,KY,0.005898
Kentucky,21223,589.5,523.9,661.4,62,stable,1.9,-0.2,4.0,Trimble,KY,0.005895
Kentucky,21127,589.5,540.5,641.8,115,stable,0.7,-0.2,1.6,Lawrence,KY,0.005895
Georgia,13227,580.8,547.2,616.1,249,rising,1.2,0.2,2.1,Pickens,GA,0.005808
Kentucky,21043,580.6,543.8,619.2,197,stable,0.9,0.0,1.9,Carter,KY,0.005806
Texas,48373,576.4,549.4,604.6,374,stable,0.4,-3.6,4.6,Polk,TX,0.005764
Montana,30079,575.0,424.6,773.5,12,stable,11.7,-31.2,81.1,Prairie,MT,0.00575
Kentucky,21189,574.6,489.2,671.7,35,stable,1.0,-1.4,3.5,Owsley,KY,0.005746
South Dakota,46061,572.8,459.2,705.8,20,stable,7.5,-8.6,26.4,Hanson,SD,0.005728
Kentucky,21167,572.7,532.4,615.4,160,stable,0.5,-0.6,1.6,Mercer,KY,0.005727
Kentucky,21023,571.9,507.1,643.2,59,stable,0.9,-1.3,3.3,Bracken,KY,0.005719
Kentucky,21237,571.7,504.2,646.4,56,stable,-0.7,-2.2,0.8,Wolfe,KY,0.005717000000000001
North Carolina,37173,571.5,522.8,623.8,108,stable,2.5,-5.2,10.7,Swain,NC,0.005715
South Dakota,46097,569.8,452.8,710.8,20,stable,-1.8,-30.3,38.2,Miner,SD,0.005698
West Virginia,54015,569.1,508.3,635.8,68,stable,-2.5,-13.7,10.2,Clay,WV,0.005691
Kentucky,21049,566.7,535.1,599.8,251,stable,-4.6,-12.6,4.1,Clark,KY,0.005667
West Virginia,54059,565.7,527.9,605.6,181,stable,1.6,-16.1,22.9,Mingo,WV,0.005657000000000001
Mississippi,28161,565.6,514.2,621.2,96,stable,-6.7,-16.0,3.6,Yalobusha,MS,0.0056560000000000004
Illinois,17107,565.5,531.5,601.1,216,stable,-0.1,-4.2,4.3,Logan,IL,0.005655
North Dakota,38065,564.3,431.2,728.6,15,stable,7.4,-11.8,30.9,Oliver,ND,0.005643
Kentucky,21229,563.5,509.9,621.5,85,rising,1.5,0.1,3.0,Washington,KY,0.005635
Kentucky,21171,563.1,507.7,623.3,81,rising,2.0,0.4,3.6,Monroe,KY,0.005631000000000001
West Virginia,54045,563.0,531.9,595.6,266,stable,-1.0,-8.9,7.6,Logan,WV,0.00563
Wisconsin,55125,562.8,527.0,600.9,230,stable,-1.7,-12.5,10.5,Vilas,WI,0.005627999999999999
Georgia,13281,562.7,509.9,620.5,116,stable,0.1,-1.1,1.3,Towns,GA,0.005627
New Jersey,34009,561.5,543.8,579.8,878,stable,-0.3,-0.8,0.1,Cape May,NJ,0.005615
New York,36041,561.1,484.6,649.2,49,stable,-0.8,-2.4,0.9,Hamilton,NY,0.0056110000000000005
Iowa,19053,560.6,493.8,634.5,57,stable,0.5,-0.2,1.2,Decatur,IA,0.005606
Kentucky,21155,560.0,516.3,606.5,127,stable,-0.2,-1.2,0.8,Marion,KY,0.0056
Kentucky,21051,560.0,517.4,605.2,135,rising,1.0,0.2,1.8,Clay,KY,0.0056
Kentucky,21025,559.6,507.9,615.4,92,stable,1.4,-0.1,3.0,Breathitt,KY,0.005596
Kentucky,21121,559.5,525.7,595.0,214,stable,0.5,-0.4,1.3,Knox,KY,0.005595
Kentucky,21135,557.0,507.8,610.1,99,stable,1.0,-0.1,2.1,Lewis,KY,0.00557
New Jersey,34033,556.5,533.2,580.5,460,stable,-0.1,-0.5,0.2,Salem,NJ,0.005565
Kentucky,21011,556.4,502.8,614.4,83,stable,-1.5,-3.4,0.5,Bath,KY,0.0055639999999999995
Kentucky,21173,555.9,519.1,594.7,177,stable,0.5,-0.3,1.4,Montgomery,KY,0.005559
Iowa,19059,555.9,514.1,600.6,153,stable,0.4,-0.1,0.9,Dickinson,IA,0.005559
Kentucky,21129,555.9,487.3,632.2,51,stable,0.9,-0.9,2.8,Lee,KY,0.005559
Ohio,39163,555.5,504.1,611.1,91,stable,5.4,-0.7,11.8,Vinton,OH,0.005555
Illinois,17039,554.2,509.6,602.0,121,stable,-0.8,-13.0,13.2,De Witt,IL,0.005542
New York,36113,554.0,531.9,577.0,516,stable,0.2,-0.7,1.2,Warren,NY,0.00554
Kentucky,21149,553.5,495.1,617.5,69,stable,0.8,-0.3,1.9,McLean,KY,0.005535
Kentucky,21029,553.2,530.7,576.5,485,stable,0.2,-0.5,0.9,Bullitt,KY,0.0055320000000000005
Kentucky,21203,553.2,507.9,601.6,117,rising,0.9,0.2,1.7,Rockcastle,KY,0.0055320000000000005
Pennsylvania,42093,553.1,511.2,597.7,143,stable,1.2,-5.3,8.2,Montour,PA,0.005531
Mississippi,28051,553.0,506.7,602.6,110,stable,4.9,-3.5,14.1,Holmes,MS,0.00553
Illinois,17055,552.9,524.4,582.6,301,stable,-1.4,-9.5,7.3,Franklin,IL,0.005529
